Input-X
Input-Y
Input-W1
Input-b1
Input-W2
Input-b2
Linear-l1
Sigmoid-s1
Linear-l2
MSE-cost
Total number of examples: 506
Epoch 155, Loss: 6.8751529042403385
Epoch 156, Loss: 4.02235535946146
Epoch 157, Loss: 5.817963624929793
Epoch 158, Loss: 5.240323782662343
Epoch 159, Loss: 5.919941055659611
Epoch 160, Loss: 6.309786646431337
Epoch 161, Loss: 6.991579059800505
Epoch 162, Loss: 5.588449495224808
Epoch 163, Loss: 4.960011590981387
Epoch 164, Loss: 5.701948438141259
Epoch 165, Loss: 5.611144392621182
Epoch 166, Loss: 6.795750018871827
Epoch 167, Loss: 4.996962414965088
Epoch 168, Loss: 6.10550480313722
Epoch 169, Loss: 6.811591633867562
Epoch 170, Loss: 5.638560353222541
Epoch 171, Loss: 5.936962809197319
Epoch 172, Loss: 5.847548105559781
Epoch 173, Loss: 5.877172606021644
Epoch 174, Loss: 5.481239204756881
Epoch 175, Loss: 4.965816459733305
Epoch 176, Loss: 6.047992070955075
Epoch 177, Loss: 6.427067827501169
Epoch 178, Loss: 5.40407767679591
Epoch 179, Loss: 4.998842450851063
Epoch 180, Loss: 5.480924223445971
Epoch 181, Loss: 7.091130065640204
Epoch 182, Loss: 5.340699818630202
Epoch 183, Loss: 5.753032994409642
Epoch 184, Loss: 4.135404411585339
Epoch 185, Loss: 6.563156438935503
Epoch 186, Loss: 6.547023799296802
Epoch 187, Loss: 4.51667998432572
Epoch 188, Loss: 6.789951073558636
Epoch 189, Loss: 6.867995580649716
Epoch 190, Loss: 5.72513067834299
Epoch 191, Loss: 6.679391917875168
Epoch 192, Loss: 5.427094345214413
Epoch 193, Loss: 5.38896454105355
Epoch 194, Loss: 5.723455112984756
Epoch 195, Loss: 6.631335799635203
Epoch 196, Loss: 6.959732676684297
Epoch 197, Loss: 4.637051441541875
Epoch 198, Loss: 5.9004534612801045
Epoch 199, Loss: 5.280038559564162
Epoch 200, Loss: 6.039704140070185
Epoch 201, Loss: 5.724678415211559
Epoch 202, Loss: 5.451873106626709
Epoch 203, Loss: 6.114939996173044
Epoch 204, Loss: 6.012041628570623
Epoch 205, Loss: 6.855224925082476
Epoch 206, Loss: 6.117877031138014
Epoch 207, Loss: 5.006733837064042
Epoch 208, Loss: 5.377610531390428
Epoch 209, Loss: 5.394838771816055
Epoch 210, Loss: 4.306867776508263
Epoch 211, Loss: 6.547721161567703
Epoch 212, Loss: 4.682465262528272
Epoch 213, Loss: 6.491376523441447
Epoch 214, Loss: 5.718197740172925
Epoch 215, Loss: 6.564066801199793
Epoch 216, Loss: 5.730524110257229
Epoch 217, Loss: 5.502631305323051
Epoch 218, Loss: 4.75406689637044
Epoch 219, Loss: 5.954943620474782
Epoch 220, Loss: 5.013030356650615
Epoch 221, Loss: 6.535065102143452
Epoch 222, Loss: 4.716031669021098
Epoch 223, Loss: 6.130617899046321
Epoch 224, Loss: 7.137101592807231
Epoch 225, Loss: 7.0715050478700725
Epoch 226, Loss: 6.751467042733415
Epoch 227, Loss: 4.694154247220376
Epoch 228, Loss: 5.503311210375786
Epoch 229, Loss: 5.5339329112561435
Epoch 230, Loss: 7.094308205452155
Epoch 231, Loss: 5.935866812030517
Epoch 232, Loss: 6.773226001907322
Epoch 233, Loss: 6.459427050369075
Epoch 234, Loss: 4.581567279024524
Epoch 235, Loss: 5.563259152163175
Epoch 236, Loss: 6.366839644596193
Epoch 237, Loss: 5.478601210352449
Epoch 238, Loss: 6.911177516719197
Epoch 239, Loss: 6.060203522844785
Epoch 240, Loss: 6.268223042917946
Epoch 241, Loss: 6.248883024194219
